date,BEARER_MME_UTIL,CREATE_DEDICATED_BEARER_SR,CSFB SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SG_LU_SR,SMS_PAGGING_SR,BEARER_4G,PGW BEARER SR,PGW_BEARER_UTIL,SGW BEARER SR,THROUGHPUT_4G,THROUGHPUT_UTIL
2025-02-20 00:00:00,16.58,95.7,99.08,292,94.76,99.97,96.25,97.56,198680,19.87,98.41,99.34,100.0,87314,99.95,8.73,100.0,87.48,4.15
2025-02-20 00:05:00,16.57,95.65,100.0,305,96.12,99.99,96.55,97.62,198620,19.86,98.76,99.8,100.0,87062,100.06,8.71,100.0,80.54,3.52
2025-02-20 00:10:00,16.58,98.36,97.44,296,97.41,99.98,97.7,97.75,198736,19.87,98.01,99.68,100.0,86902,99.94,8.69,100.0,68.52,3.58
2025-02-20 00:15:00,16.57,100.0,100.0,296,96.29,99.91,92.2,97.96,198632,19.86,98.92,99.3,99.46,86655,100.0,8.67,100.0,57.54,3.38
2025-02-20 00:20:00,16.55,94.59,98.75,298,95.87,99.96,93.67,97.69,198444,19.84,98.63,99.87,100.0,86397,100.06,8.64,100.0,61.32,3.31
2025-02-20 00:25:00,16.55,96.08,100.0,300,96.63,99.94,94.41,98.26,198414,19.84,98.98,99.87,99.44,86202,100.0,8.62,100.0,62.53,3.13
2025-02-20 00:30:00,16.53,95.89,100.0,301,96.29,100.05,87.52,98.21,198183,19.82,99.27,99.3,100.0,85976,99.94,8.6,100.0,68.64,3.47
2025-02-20 00:35:00,16.53,100.0,100.0,292,96.53,99.94,94.13,98.43,198209,19.82,99.27,100.09,100.0,85715,100.07,8.57,98.85,56.27,2.58
2025-02-20 00:40:00,16.53,98.53,100.0,297,96.61,100.0,94.43,98.33,198221,19.82,99.31,99.2,100.0,85540,100.0,8.55,100.0,81.47,2.98
2025-02-20 00:45:00,16.53,92.86,100.0,299,94.64,99.99,91.93,98.22,198200,19.82,99.19,99.58,100.0,85302,100.0,8.53,100.0,78.93,2.63
2025-02-20 00:50:00,16.54,100.0,97.44,296,96.19,99.98,94.9,98.18,198308,19.83,99.17,99.77,99.17,85092,100.0,8.51,100.0,71.3,2.85
2025-02-20 00:55:00,16.55,100.0,100.0,299,96.79,99.99,95.99,98.38,198374,19.84,98.78,99.13,98.06,84881,100.0,8.49,100.0,57.62,2.84
2025-02-20 01:00:00,16.54,94.74,98.73,296,96.14,99.98,96.8,98.43,198220,19.82,99.21,99.38,99.24,84692,100.0,8.47,100.0,57.72,2.55
2025-02-20 01:05:00,16.53,100.0,100.0,293,95.63,99.94,93.99,98.44,198155,19.82,99.31,99.63,100.0,84505,100.0,8.45,100.0,58.57,2.47
2025-02-20 01:10:00,16.52,100.0,100.0,298,96.3,99.99,97.54,98.45,198086,19.81,99.29,99.7,99.12,84319,100.0,8.43,100.0,53.46,2.33
2025-02-20 01:15:00,16.53,96.15,100.0,296,92.75,99.89,95.86,98.52,198111,19.81,99.16,99.54,100.0,84132,100.0,8.41,100.0,51.4,2.31
2025-02-20 01:20:00,16.53,100.0,100.0,296,96.5,99.99,93.24,98.76,198124,19.81,99.08,99.18,99.35,83946,100.0,8.39,100.0,39.27,2.27
2025-02-20 01:25:00,16.53,100.0,100.0,294,95.23,99.99,94.72,98.5,198190,19.82,99.22,100.07,97.69,83741,100.0,8.37,100.0,35.68,2.36
2025-02-20 01:30:00,16.54,93.33,100.0,297,96.28,99.94,95.37,98.74,198250,19.82,99.25,99.48,100.0,83575,100.0,8.36,100.0,33.68,1.93
2025-02-20 01:35:00,16.52,100.0,97.3,301,96.74,99.97,97.77,98.46,198097,19.81,99.2,99.58,100.0,83381,100.0,8.34,100.0,35.01,2.17
2025-02-20 01:40:00,16.52,100.0,100.0,297,95.38,99.96,97.0,98.59,198010,19.8,99.25,99.77,100.0,83213,100.0,8.32,100.0,33.64,1.86
2025-02-20 01:45:00,16.52,100.0,100.0,303,95.37,99.94,95.99,98.36,198016,19.8,99.21,99.34,99.13,82988,100.0,8.3,100.0,38.28,1.64
2025-02-20 01:50:00,16.52,98.11,100.0,300,96.6,99.96,96.59,98.54,198004,19.8,99.19,99.92,100.0,82776,100.0,8.28,100.0,32.24,1.85
2025-02-20 01:55:00,16.52,96.77,100.0,296,96.86,99.98,97.43,98.34,198065,19.81,99.25,99.84,100.0,82541,99.93,8.25,100.0,40.34,1.76
2025-02-20 02:00:00,16.52,100.0,100.0,299,96.12,99.96,96.91,98.44,198022,19.8,99.07,99.74,99.14,82205,100.0,8.22,100.0,35.98,1.73
2025-02-20 02:05:00,16.57,97.14,100.0,299,96.65,100.0,98.08,98.57,198516,19.85,99.04,99.68,99.11,81980,100.06,8.2,100.0,26.62,1.41
2025-02-20 02:10:00,16.52,96.87,98.28,295,95.45,99.89,98.9,98.46,198166,19.82,99.02,99.39,99.24,81753,99.94,8.18,95.51,36.66,1.84
2025-02-20 02:15:00,16.55,100.0,100.0,295,95.92,99.93,98.73,98.42,198378,19.84,98.95,99.77,100.0,81525,100.06,8.15,98.72,28.04,1.62
2025-02-20 02:20:00,16.53,100.0,100.0,301,96.16,99.95,98.36,98.74,198217,19.82,98.98,99.43,100.0,81260,100.0,8.13,100.0,32.85,1.54
2025-02-20 02:25:00,16.54,100.0,100.0,299,96.65,99.98,98.58,98.74,198274,19.83,99.0,99.72,100.0,81049,100.0,8.1,100.0,27.82,1.53
2025-02-20 02:30:00,16.54,98.15,100.0,296,95.12,99.98,98.52,98.77,198251,19.83,98.93,99.4,97.62,80823,100.0,8.08,100.0,22.95,1.58
2025-02-20 02:35:00,16.53,95.65,100.0,301,97.46,99.93,96.07,98.41,198184,19.82,98.95,99.58,100.0,80571,100.0,8.06,100.0,28.92,1.29
2025-02-20 02:40:00,16.53,97.06,100.0,292,97.2,99.99,98.08,98.79,198207,19.82,98.92,99.78,100.0,80329,100.0,8.03,100.0,35.15,1.74
2025-02-20 02:45:00,16.54,97.22,98.18,300,96.72,99.99,95.9,98.81,198350,19.83,99.0,99.48,98.8,80147,100.0,8.01,100.0,38.28,1.5
2025-02-20 02:50:00,16.53,100.0,100.0,299,97.33,100.0,96.55,98.63,198188,19.82,98.94,99.32,100.0,79929,99.93,7.99,100.0,36.04,1.45
2025-02-20 02:55:00,16.52,100.0,94.0,296,97.19,99.98,94.7,98.56,198097,19.81,98.97,99.7,100.0,79705,100.07,7.97,100.0,41.76,1.6
2025-02-20 03:00:00,16.52,100.0,98.67,300,98.23,100.0,95.88,98.49,198084,19.81,99.0,99.2,98.39,79466,99.93,7.95,100.0,42.55,1.72
2025-02-20 03:05:00,16.54,97.5,100.0,299,96.85,99.98,94.67,98.43,198250,19.82,98.91,99.42,96.36,79242,100.0,7.92,100.0,41.85,1.59
2025-02-20 03:10:00,16.52,100.0,100.0,295,95.29,100.0,94.54,98.79,198080,19.81,98.96,99.56,98.67,79037,100.07,7.9,100.0,37.03,1.65
2025-02-20 03:15:00,16.52,100.0,100.0,300,97.11,99.95,98.88,98.65,198082,19.81,98.93,98.94,100.0,78807,100.0,7.88,100.0,38.03,1.57
2025-02-20 03:20:00,16.51,100.0,100.0,304,98.93,99.97,96.19,98.75,197958,19.8,98.98,99.83,100.0,78632,100.0,7.86,98.59,31.61,1.55
2025-02-20 03:25:00,16.51,100.0,100.0,295,97.41,99.98,94.71,98.74,197970,19.8,98.98,99.32,100.0,78428,100.0,7.84,100.0,30.91,1.5
2025-02-20 03:30:00,16.51,100.0,100.0,301,96.36,99.94,96.72,98.99,197926,19.79,99.0,98.88,98.65,78184,100.0,7.82,100.0,33.91,1.5
2025-02-20 03:35:00,16.51,97.56,100.0,295,97.18,99.99,97.98,98.91,197906,19.79,98.9,99.77,100.0,78007,100.0,7.8,100.0,33.18,1.37
